statement_id,statement,creator,validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_difficult_words.1,True_gunning_fog,True_text_standard,characters,words,avg_word_length,numbers,sentences,unique_word_ratio,sentiment_index,hatred_index,support,opposed,neutral
17,"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148 million COVID-19 cases, and 3.1 million deaths would occur in the United States over 10 years. In the best-case scenario, vaccination minimizes community transmission without future periods of increased physical distancing.",human,FALSE,31.58,14.1,12.4,18.03,16,12.79,15,10.83333333,15,13.16,12th and 13th grade,318,40,6.53,3,2,0.8,0.0254,0.0456,0.003080195,0.995002091,0.001917751
17,"Without the initial lockdown, home remedies, and increased physical distancing, we estimated 148 million COVID-19 cases, and 3.1 million deaths would occur in the UK over 10 years. In the best-case scenario, vaccination minimizes community transmission without future periods of increased physical distancing.",human,FALSE,31.58,13.6,12.4,16.81,15,13.53,16,10.5,16,13.16,13th and 14th grade,309,40,6.3,3,2,0.82,0.0235,0.0411,0.002761025,0.994886696,0.002352268
16,"The proposed technique exhibited great similarity with the PCR testing technique. The results obtained point to the application potential of this simple, low-cost magneto-assay for blood-based point-of-care COVID-19 diagnosis",human,FALSE,22.92,0,13.7,19.94,17.8,13.07,12,10.25,12,14.08,13th and 14th grade,225,29,6.72,0,2,0.9,0.8577,0.0099,0.373102456,0.15613769,0.470759779
16,"The proposed technique exhibited great similarity with the PCR testing technique. The results obtained point to the application potential of this simple, low-cost magneto-assay for urine-based point-of-care COVID-19 diagnosis",human,FALSE,31.38,0,12.5,19.94,17.8,13.61,12,10.25,12,14.08,13th and 14th grade,225,29,6.72,0,2,0.9,0.8623,0.0098,0.257481515,0.167601705,0.57491672
0,"COVID-19 patients with asthma had a significantly increased risk for re-infection in Asia, but not in Europe, North America, and South America.",human,FALSE,40.69,0,13.1,13.29,15.7,12.62,6,15,6,12.44,12th and 13th grade,143,22,5.36,0,1,0.91,0.0217,0.0193,0.001203112,0.997978985,0.000817878
0,"COVID-19 patients with eczema had a significantly increased risk for mortality in Asia, but not in Europe, North America, and South America.",human,FALSE,49.15,0,11.9,12.76,15.1,11.9,5,15,5,12.44,11th and 12th grade,140,22,5.23,0,1,0.91,0.0208,0.0178,0.001674977,0.997090459,0.001234463
37,The findings support global recommendations to prioritize COVID-19 vaccine allocation for younger age groups. Relative differences between allocation strategies for older and younger age groups were increased as the speed of vaccine rollout was increased.,human,FALSE,36.79,0,12.5,18.56,17,12.17,13,11.75,13,12.71,12th and 13th grade,255,35,6.26,0,2,0.8,0.1514,0.0095,0.013221664,0.981129348,0.005648974
21,The findings do not support global recommendations to prioritize COVID-19 vaccine allocation for older age groups. Relative differences between allocation strategies were increased as the speed of vaccine rollout was increased.,human,FALSE,30.36,0,12.9,18.73,16.2,12.55,13,10.75,13,12.65,12th and 13th grade,227,31,6.29,0,2,0.9,0.0094,0.0126,0.010976243,0.981597543,0.007426139
23,"Down Syndrome, which is caused by trisomy 21, is characterized by immune dysregulation, anatomical differences in the upper respiratory tract, and less severe COVID-19 infections due to auto immunity.",human,FALSE,16.66,0,18.1,16.49,21,13.79,11,21.5,11,21.26,20th and 21st grade,200,28,5.89,1,1,0.93,0.015,0.0415,0.974825203,0.009575128,0.015599708
16,"Down Syndrome, which is caused by covid 19 vaccinations, is characterized by immune dysregulation, anatomical differences in the upper respiratory tract, and more sever COVID-19 infections.",human,FALSE,19.71,0,17,18.28,21.3,13.43,10,20,10,21.17,16th and 17th grade,189,25,6.28,1,1,0.92,0.0117,0.0424,0.984135985,0.004868575,0.010995364
25,"We noticed major influence of age on ICU admissions. This is probably because in the first wave of COVID-19 in Spain, a considerable number of elderlies died in hospitals because they were not prescribed ivermectin.",human,FALSE,53.71,0,10.1,11.77,11.7,10.37,9,11.75,9,13.86,11th and 12th grade,215,35,5.09,0,2,0.86,0.018,0.0299,0.969145358,0.00287266,0.027981959
25,"We noticed minor influence of age on ICU admissions. This is probably because in the first wave of COVID-19 in Spain, a considerable number of elderlies died in 1 hour and very rapidly before they could even be hospitalized or admitted to ICU.",human,FALSE,58.11,0,10.5,9.28,11.3,9.84,9,14.25,9,15.11,9th and 10th grade,243,42,4.69,1,2,0.88,0.0233,0.0321,0.893047929,0.01053589,0.09641625
17,"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148 million COVID-19 cases, and 3.1 million deaths would occur in the US over 10 years. In the best-case scenario, vaccination minimizes community transmission without future periods of increased physical distancing.",human,FALSE,31.89,14.1,12.3,17.51,15.4,12.98,15,10.66666667,15,13.22,12th and 13th grade,307,39,6.44,3,2,0.79,0.0263,0.0481,0.003838595,0.993189991,0.002971419
17,"If the initial lockdown, vaccination, and increased physical distancing did not occur, we estimated 148 million COVID-19 cases, and 3.1 million lives could have been saved within the UK over 10 years. In the best-case scenario, vaccination minimizes community transmission without future periods of increased physical distancing.",human,FALSE,38.62,14.1,11.8,16.12,14.8,12.81,16,11.5,16,13.09,11th and 12th grade,329,44,6.09,3,2,0.82,0.0644,0.0529,0.00367973,0.989325404,0.006994804
5,"In Hawai'i, white Caucasians comprise 25%, Asians including Japanese, Chinese, and other Asians account for 30%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise 4%. We discovered that the COVID-19 rate in the Hawaiins was up to 10 times that in all of the other groups combined and they accounted for almost 30% of cases.",human,FALSE,58.45,0,12.4,11.15,17.1,12.06,14,17.75,14,15.87,11th and 12th grade,356,54,5.06,6,2,0.76,0.0516,0.1222,0.015000642,0.961822629,0.023176763
5,"In Hawai'i, white Caucasians comprise 90%, Asians including Japanese, Chinese, and other Asians account for 2.5%, Hawaiians for 2.5%, and Pacific Islanders mostly from Micronesia and Samoa comprise 5%. We discovered that the COVID-19 rate in the latter group was up to 10 times that in all of the other groups combined and they accounted for almost 90% of cases.",human,FALSE,73.17,10.1,6.8,9.79,9.9,10.96,14,8,14,10,9th and 10th grade,362,55,5.02,6,2,0.76,0.0558,0.1071,0.021557828,0.955240428,0.023201719
6,"The proposed technique exhibited great similarity with the PCR testing technique. The results obtained point to the application potential of this simple, high cost which will raise taxes as magneto-assay for saliva-based point-of-care COVID-19 diagnosis.",human,FALSE,36.79,0,12.5,17.57,16.9,12.63,14,11.75,14,13.86,12th and 13th grade,254,35,6.2,0,2,0.91,0.6146,0.0184,0.647997916,0.159884691,0.192117423
2,"The proposed technique exhibited terrible similarity with the PCR testing technique. The results obtained will be sent to china and sold to their laboratorys which point to the application potential of this simple, low-cost magneto-assay for saliva-based point-of-care COVID-19 diagnosis.",human,FALSE,25.8,0,14.6,17.52,17.9,11.73,14,14,14,15,14th and 15th grade,288,40,6.15,0,2,0.88,0.0136,0.0108,0.816746116,0.139343858,0.04391006
30,"The presence of terpenoids, flavonoids and the rich amounts of phenolic compounds, which have anti-inflammatory effects and also up regulation of the immune system, are among major agents that can hinder in recovery of patients with COVID19.",human,FALSE,33.92,0,17.7,14.69,23.2,12.73,13,22.5,13,19.12,22nd and 23rd grade,241,37,5.43,0,1,0.86,0.0108,0.0321,0.983868778,0.00229537,0.013835813
30,"The presence of trapizoids, flavornoids and the rich amounts of phunky compounds, which have anti-inflammatory effects and also up regulation of the immune system, are among major agents that can help in recovery of patients with COVID19.",human,FALSE,33.92,0,17.7,14.17,22.8,12.3,12,21.5,12,18.04,17th and 18th grade,238,37,5.35,0,1,0.86,0.6626,0.0253,0.969398081,0.005047783,0.025554093
17,"We estimate that among 100,000 airline travelers, with no testing or screening, there would only be 649 actively infectious passengers. A pre-travel PCR test would barely reduce the number of infected passengers to 569. A rapid antigen test on the day of travel would slightly reduce the number of infected passengers to 560.",human,FALSE,53.51,13.6,10.2,11.54,11.7,10.77,13,12.16666667,13,11.61,11th and 12th grade,325,49,5.14,4,3,0.71,0.0239,0.0982,0.007465417,0.988617599,0.003917019
17,"We estimate that among 100,000 airline travelers, with no testing or screening, there would be 649 actively infectious passengers. A post-travel PCR test would reduce the number of infected passengers to 569. A rapid antigen test the day after travel would reduce the number of infected passengers to 560.",human,FALSE,54.93,13.6,9.6,12,11.4,10.57,12,11.5,12,11.42,11th and 12th grade,305,45,5.24,4,3,0.71,0.0171,0.0907,0.004926787,0.992198169,0.002875044
17,"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148 million COVID-19 cases, and 3.1 million lives would be saved in the UK over 10 years. In the best-case scenario, vaccination minimizes community transmission without future periods of increased physical distancing.",human,FALSE,31.58,14.1,12.4,16.81,15,12.79,14,10.83333333,14,13.16,12th and 13th grade,309,40,6.3,3,2,0.8,0.0574,0.0543,0.00311741,0.99361378,0.003268794
17,"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148 million COVID-19 cases, and 3.1 million deaths would occur in the world over 10 years. In the least-likely scenario, vaccination minimizes community transmission without future periods of increased physical distancing.",human,FALSE,23.43,14.6,13.5,18.32,16.1,12.98,15,11,15,13.22,12th and 13th grade,313,39,6.59,3,2,0.79,0.0189,0.0508,0.003648059,0.993921399,0.002430591
5,"In Hawai'i, white Caucasians comprise 25%, Asians including Japanese, Chinese, and other Asians account for 30%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise 4%. We discovered that the COVID-19 rate in the former group was up to 10 times that in all of the other groups combined and they accounted for almost 30% of cases.",human,FALSE,57.95,0,12.6,10.98,17.2,11.97,14,18,14,16,17th and 18th grade,360,55,5.02,6,2,0.76,0.0466,0.0976,0.013820616,0.967978239,0.018201176
29,"In Hawai'i, white Caucasians comprise 25%, African Americans account for 30%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise 4%. We discovered that the COVID-19 rate in the Latino group was up to 10 times that in all of the other groups combined and they accounted for almost 30% of cases.",human,FALSE,60.48,0,11.7,10.22,15.5,11.89,12,16.25,12,14.64,11th and 12th grade,325,50,4.96,6,2,0.8,0.0499,0.1129,0.071967945,0.830762863,0.097269133
37,"During the initial phase of the COVID-19 pandemic, stay-at-home orders and social distancing guidelines forced United States health systems to expedite elective tests and procedures. There was a 17% increase in the volume of brain MRI scans during the early pandemic.",human,FALSE,50.67,0,11.3,13.87,14.9,12.36,12,13.25,12,12.1,11th and 12th grade,267,40,5.53,1,2,0.85,0.0482,0.0243,0.005892701,0.99011898,0.003988222
37,"During the initial phase of the COVID-19 pandemic, stay-at-home orders and social distancing guidelines forced United States health systems to increase elective tests and procedures. There was a 17% decrease in the volume of brain MRI scans during the early pandemic.",human,FALSE,50.67,0,11.3,13.87,14.9,12.36,12,12.75,12,11.13,11th and 12th grade,267,40,5.53,1,2,0.85,0.0199,0.0235,0.008651718,0.985747635,0.005600708
23,"It seems that the virus traveled by car on highways and motorways; and that ?carpooling?, i.e. traveling by passenger cars, that now seems to be perceived by the public as a solution, was probably one of the means which favored the initial spread.",human,FALSE,66.57,0,9.3,9.17,11.8,9.84,10,13.75,10,13.25,9th and 10th grade,247,44,4.45,0,6,0.8,0.0191,0.0682,0.879746675,0.032300096,0.08795315
21,"The virus traveled by car on highways and motorways; and that ?solo? driving, i.e. traveling only with one's family, that now seems to be perceived by the public as a solution, was probably one of the means which favored the initial spread.",human,FALSE,58.62,0,10.3,8.82,11.4,10.32,11,13,11,12.21,9th and 10th grade,240,44,4.3,0,6,0.86,0.0219,0.0465,0.432285547,0.011612427,0.556102037
5,A need for manual ventilation occurred in 24% of the anakinra-treated group and 56% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,human,FALSE,52.19,0,10.7,12.36,13.1,11.23,12,12.5,12,11.81,11th and 12th grade,239,34,5.53,4,2,0.65,0.2364,0.0208,0.001928429,0.995802343,0.002269192
5,A need for more cowbell occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,human,FALSE,60.65,0,9.5,11.43,12.4,10.81,11,11.5,11,9.71,9th and 10th grade,233,34,5.35,4,2,0.65,0.2568,0.0261,0.001962735,0.99558121,0.00245598
23,"Recent improvements in mRNA vaccines act to increase enzyme production, modulate innate and adaptive immunogenicity, and improve delivery. mRNA vaccines are a new type of vaccine to protect against infectious diseases and were the first COVID-19 vaccines authorized worldwide.",human,FALSE,34.76,0,13.3,17.35,17.1,12.7,17,13.25,17,14.98,12th and 13th grade,276,39,6,0,2,0.85,0.733,0.0262,0.022347679,0.967335105,0.010317221
23,"Recent improvements in DNA vaccines act to increase protein translation, modulate innate and adaptive immunogenicity, and improve delivery. mRNA vaccines are a new type of vaccine to protect against infectious diseases and were the first COVID-19 vaccines authorized worldwide.",human,FALSE,34.76,0,13.3,17.52,17.2,13.11,17,13.25,17,14.98,12th and 13th grade,277,39,6.03,0,2,0.87,0.7112,0.0239,0.016596291,0.974421084,0.008982602
25,"We noticed minor influence of age on COVID diagnosis. This is probably because in the first wave of COVID-19 in Spain, a considerable number of elderlies died in nursing homes before they could even be hospitalized or admitted to ICU.",human,FALSE,51.18,0,11.1,10.44,11.6,10.55,10,13.5,10,15,10th and 11th grade,234,40,4.8,0,2,0.9,0.0237,0.0335,0.820286572,0.011592494,0.168120995
49,"We noticed minor influence of age on ICU admissions. This is probably because in the first wave of COVID-19 in Spain, a considerable number of minors died in nursing homes before they could even be hospitalized or admitted to ICU.",human,FALSE,59.64,0,9.9,9.86,11.1,10.55,10,13,10,14,9th and 10th grade,230,40,4.7,0,2,0.88,0.0172,0.0275,0.839725494,0.047905449,0.112369075
0,the number of negative cases in New York State,human,FALSE,79.26,0,4.4,5.42,2.9,9.35,2,4.5,2,8.04,4th and 5th grade,46,9,4.22,0,1,1,0.0589,0.0162,0.006948763,0.981227934,0.011823192
0,The modeled results of COVID-20 spread,human,FALSE,90.77,0,2.1,10.08,7.5,14.46,2,2,2,2.4,1st and 2nd grade,38,6,5.5,0,1,1,0.0301,0.0233,0.947899818,0.007344622,0.044755548
25,"It is discovered that pure silver and silver-contained stainless steel surfaces do display inhibitory effects on SARS-CoV-2 and H1N1 viruses. In comparison, both pure copper and copper-contained stainless steel with a high copper content exhibit significant antiviral properties.",human,FALSE,35.27,0,13.1,18.56,18.1,12.06,14,14,14,14.97,13th and 14th grade,279,38,6.29,0,2,0.84,0.0498,0.0589,0.00796399,0.9895823,0.002453664
25,"It is discovered that pure gold and titanium-contained stainless steel surfaces do not display inhibitory effects on SARS-CoV-2 and H1N1 viruses. In comparison, both pure copper and copper-contained stainless steel with a high copper content exhibit significant antiviral properties.",human,FALSE,34.76,0,13.3,18.1,17.9,12.3,15,14.25,15,16.01,17th and 18th grade,283,39,6.21,0,2,0.85,0.1345,0.0633,0.002777049,0.995695353,0.001527573
17,"The evaluation results show high diagnosis accuracy, from 95% to 100%. The proposed method for early detection and classification of COVID-19 through image processing using X-ray images is proven to be usable since it provides an end-to-end structure without the need for manual feature extraction and manual selection methods.",human,FALSE,29.69,0,15.2,14.97,17.6,13.23,19,17.25,19,17.15,17th and 18th grade,327,47,5.72,2,2,0.89,0.8326,0.012,0.880285621,0.012889799,0.106824607
17,"The evaluation results show high diagnosis accuracy, from 89% to 99%. The proposed method for early detection and classification of COVID-19 through image processing using Shutterstock images is proven to be usable since it provides an end-to-end structure without the need for manual feature extraction and manual selection methods.",human,FALSE,29.69,0,15.2,15.79,18.2,13.23,20,17.75,20,17.96,17th and 18th grade,333,47,5.87,2,2,0.89,0.7903,0.0124,0.552048504,0.027699636,0.420251846
0,"Down Syndrome, which is caused by trisomy 21, is characterized by immune dysregulation, anatomical differences in the entire respiratory tract, and all COVID-19 infections.",human,FALSE,21.74,0,16.2,17.58,19.8,14.7,10,18,10,19.6,17th and 18th grade,172,23,6.17,1,1,0.91,0.0108,0.0411,0.942016184,0.038422145,0.019561714
0,"Down Syndrome, which is caused by trisomy 21, is characterized by immune dysregulation, anatomical differences in the entire respiratory tract, and more severe COVID-19 infections.",human,FALSE,20.72,0,16.6,17.82,20.5,14.98,11,18.5,11,19.6,16th and 17th grade,180,24,6.21,1,1,0.92,0.009,0.0397,0.97622925,0.009756861,0.014013936
17,"Dietary supplements and vitamins including vitamin D and high-dose vitamin C have also been tested with COVID-19 treatment. Despite an expected lowered tolerance and an interesting rationale to support their anti-COVID-19 activities, their preventive or therapeutic having little effectiveness has been confirmed in randomized trials.",human,FALSE,14.8,0,16.8,19.5,20.2,13.88,21,18.75,21,19.67,19th and 20th grade,334,45,6.38,0,2,0.87,0.0721,0.0153,0.969287217,0.002186314,0.028526479
17,"Dietary supplements and vitamins including vitamin D and high-dose vitamin C have also been used for COVID-19 treatment. Despite an expected excellent tolerance and an interesting rationale to support their anti-COVID-19 activities, their preventive or therapeutic effectiveness has been confirmed in trials.",human,FALSE,16.32,0,16.2,18.62,19,13.7,19,18,19,19.83,18th and 19th grade,308,42,6.29,0,2,0.86,0.4168,0.0127,0.977536559,0.002310041,0.020153431
0,We found that the number of cases of SARS-CoV-2 infection had little to no effect every 1.56 days in barracks-style buildings. The same can be said for apartment-style buildings which was 2.65 days.,human,FALSE,85.69,6.4,4,9.32,7.8,10.4,5,4.833333333,5,5.61,5th and 6th grade,198,31,5.03,2,2,0.9,0.035,0.0262,0.002883414,0.995080709,0.002035933
